"Units","scenario","region","ghg","year","value"
"Tg","T_02_CAT_crnt","Global","BC",1990,6.847167919
"Tg","T_02_CAT_crnt","Global","BC",2005,7.2701422943143
"Tg","T_02_CAT_crnt","Global","BC",2010,7.8388091145654
"Tg","T_02_CAT_crnt","Global","BC",2015,7.81526735494917
"Tg","T_02_CAT_crnt","Global","BC",2020,7.42098102699804
"Tg","T_02_CAT_crnt","Global","BC",2025,7.13420303530475
"Tg","T_02_CAT_crnt","Global","BC",2030,6.85956829329768
"Tg","T_02_CAT_crnt","Global","BC",2035,6.54428040788381
"Tg","T_02_CAT_crnt","Global","BC",2040,6.32520633999483
"Tg","T_02_CAT_crnt","Global","BC",2045,6.0320521502429
"Tg","T_02_CAT_crnt","Global","BC",2050,5.77090461712524
"Tg","T_02_CAT_crnt","Global","BC",2055,5.5746959633897
"Tg","T_02_CAT_crnt","Global","BC",2060,5.41648067322403
"Tg","T_02_CAT_crnt","Global","BC",2065,5.30043414533102
"Tg","T_02_CAT_crnt","Global","BC",2070,5.20703876409158
"Tg","T_02_CAT_crnt","Global","BC",2075,5.15097256305067
"Tg","T_02_CAT_crnt","Global","BC",2080,5.14209356307878
"Tg","T_02_CAT_crnt","Global","BC",2085,5.14833157363856
"Tg","T_02_CAT_crnt","Global","BC",2090,5.173180707
"Tg","T_02_CAT_crnt","Global","BC",2095,5.21241642114224
"Tg","T_02_CAT_crnt","Global","BC",2100,5.27186043952367
"Tg","T_02_CAT_crnt","Global","BC_AWB",1990,0.208596188578435
"Tg","T_02_CAT_crnt","Global","BC_AWB",2005,0.211344555227613
"Tg","T_02_CAT_crnt","Global","BC_AWB",2010,0.18574386781552
"Tg","T_02_CAT_crnt","Global","BC_AWB",2015,0.208090055828678
"Tg","T_02_CAT_crnt","Global","BC_AWB",2020,0.194886839712925
"Tg","T_02_CAT_crnt","Global","BC_AWB",2025,0.169700555434745
"Tg","T_02_CAT_crnt","Global","BC_AWB",2030,0.151521393124671
"Tg","T_02_CAT_crnt","Global","BC_AWB",2035,0.141891240195024
"Tg","T_02_CAT_crnt","Global","BC_AWB",2040,0.136127647016733
"Tg","T_02_CAT_crnt","Global","BC_AWB",2045,0.131692873360864
"Tg","T_02_CAT_crnt","Global","BC_AWB",2050,0.128468349231745
"Tg","T_02_CAT_crnt","Global","BC_AWB",2055,0.126761562827325
"Tg","T_02_CAT_crnt","Global","BC_AWB",2060,0.124835329019114
"Tg","T_02_CAT_crnt","Global","BC_AWB",2065,0.123368136537293
"Tg","T_02_CAT_crnt","Global","BC_AWB",2070,0.122070553874383
