"Units","scenario","region","GHG","year","value"
"Tg","T_03_CAT_cont","Global","BC",1990,6.847167919
"Tg","T_03_CAT_cont","Global","BC",2005,7.2701422942143
"Tg","T_03_CAT_cont","Global","BC",2010,7.8388091145654
"Tg","T_03_CAT_cont","Global","BC",2015,7.81526735494917
"Tg","T_03_CAT_cont","Global","BC",2020,7.42100215168034
"Tg","T_03_CAT_cont","Global","BC",2025,7.13426367632148
"Tg","T_03_CAT_cont","Global","BC",2030,6.85929052119885
"Tg","T_03_CAT_cont","Global","BC",2035,6.54460848793962
"Tg","T_03_CAT_cont","Global","BC",2040,6.32211273377707
"Tg","T_03_CAT_cont","Global","BC",2045,6.0272009531962
"Tg","T_03_CAT_cont","Global","BC",2050,5.76117594058971
"Tg","T_03_CAT_cont","Global","BC",2055,5.55870318735155
"Tg","T_03_CAT_cont","Global","BC",2060,5.39253097358015
"Tg","T_03_CAT_cont","Global","BC",2065,5.26966125486821
"Tg","T_03_CAT_cont","Global","BC",2070,5.16987138943689
"Tg","T_03_CAT_cont","Global","BC",2075,5.10779392519144
"Tg","T_03_CAT_cont","Global","BC",2080,5.09796352094325
"Tg","T_03_CAT_cont","Global","BC",2085,5.10582433967289
"Tg","T_03_CAT_cont","Global","BC",2090,5.1295956128162
"Tg","T_03_CAT_cont","Global","BC",2095,5.165833741
"Tg","T_03_CAT_cont","Global","BC",2100,5.2204910060395
"Tg","T_03_CAT_cont","Global","BC_AWB",1990,0.208596188578435
"Tg","T_03_CAT_cont","Global","BC_AWB",2005,0.211344555227613
"Tg","T_03_CAT_cont","Global","BC_AWB",2010,0.18574386781552
"Tg","T_03_CAT_cont","Global","BC_AWB",2015,0.208090055828678
"Tg","T_03_CAT_cont","Global","BC_AWB",2020,0.194886827762062
"Tg","T_03_CAT_cont","Global","BC_AWB",2025,0.169701241214912
"Tg","T_03_CAT_cont","Global","BC_AWB",2030,0.151522284859317
"Tg","T_03_CAT_cont","Global","BC_AWB",2035,0.141882666263313
"Tg","T_03_CAT_cont","Global","BC_AWB",2040,0.136117405283327
"Tg","T_03_CAT_cont","Global","BC_AWB",2045,0.131705612316888
"Tg","T_03_CAT_cont","Global","BC_AWB",2050,0.128506449589086
"Tg","T_03_CAT_cont","Global","BC_AWB",2055,0.126777328312807
"Tg","T_03_CAT_cont","Global","BC_AWB",2060,0.124852801095217
