"Units","scenario","region","GHG","year","value"
"Tg","T_06_NDC_cont","Global","BC",1990,6.847167919
"Tg","T_06_NDC_cont","Global","BC",2005,7.2701422942143
"Tg","T_06_NDC_cont","Global","BC",2010,7.8388091145654
"Tg","T_06_NDC_cont","Global","BC",2015,7.81526735494917
"Tg","T_06_NDC_cont","Global","BC",2020,7.42099356388485
"Tg","T_06_NDC_cont","Global","BC",2025,7.065756955
"Tg","T_06_NDC_cont","Global","BC",2030,6.714328734
"Tg","T_06_NDC_cont","Global","BC",2035,6.32670207653876
"Tg","T_06_NDC_cont","Global","BC",2040,5.9370706677132
"Tg","T_06_NDC_cont","Global","BC",2045,5.6737208240921
"Tg","T_06_NDC_cont","Global","BC",2050,5.48315476002294
"Tg","T_06_NDC_cont","Global","BC",2055,5.34730019087899
"Tg","T_06_NDC_cont","Global","BC",2060,5.19729057137901
"Tg","T_06_NDC_cont","Global","BC",2065,5.10681575483401
"Tg","T_06_NDC_cont","Global","BC",2070,5.05908515321778
"Tg","T_06_NDC_cont","Global","BC",2075,5.0446601178753
"Tg","T_06_NDC_cont","Global","BC",2080,5.07257925608384
"Tg","T_06_NDC_cont","Global","BC",2085,5.11545365599252
"Tg","T_06_NDC_cont","Global","BC",2090,5.17725109785584
"Tg","T_06_NDC_cont","Global","BC",2095,5.25131304357003
"Tg","T_06_NDC_cont","Global","BC",2100,5.34399436342831
"Tg","T_06_NDC_cont","Global","BC_AWB",1990,0.208596188578435
"Tg","T_06_NDC_cont","Global","BC_AWB",2005,0.211344555227613
"Tg","T_06_NDC_cont","Global","BC_AWB",2010,0.18574386781552
"Tg","T_06_NDC_cont","Global","BC_AWB",2015,0.208090055828678
"Tg","T_06_NDC_cont","Global","BC_AWB",2020,0.19488682965824
"Tg","T_06_NDC_cont","Global","BC_AWB",2025,0.171483648972794
"Tg","T_06_NDC_cont","Global","BC_AWB",2030,0.153971259394533
"Tg","T_06_NDC_cont","Global","BC_AWB",2035,0.143658116992204
"Tg","T_06_NDC_cont","Global","BC_AWB",2040,0.137981157
"Tg","T_06_NDC_cont","Global","BC_AWB",2045,0.133732022553416
"Tg","T_06_NDC_cont","Global","BC_AWB",2050,0.131055917270755
"Tg","T_06_NDC_cont","Global","BC_AWB",2055,0.129439893850279
"Tg","T_06_NDC_cont","Global","BC_AWB",2060,0.127336804593983
"Tg","T_06_NDC_cont","Global","BC_AWB",2065,0.125798451819143
"Tg","T_06_NDC_cont","Global","BC_AWB",2070,0.124163763781002
"Tg","T_06_NDC_cont","Global","BC_AWB",2075,0.123594282236032
"Tg","T_06_NDC_cont","Global","BC_AWB",2080,0.123328251881582
"Tg","T_06_NDC_cont","Global","BC_AWB",2085,0.123629125685856
"Tg","T_06_NDC_cont","Global","BC_AWB",2090,0.123773385825513
"Tg","T_06_NDC_cont","Global","BC_AWB",2095,0.123691035048876
"Tg","T_06_NDC_cont","Global","BC_AWB",2100,0.123166301876642
"Gg","T_06_NDC_cont","Global","C2F6",1990,1.678186506
