"Units","scenario","region","GHG","year","value"
"Tg","T_07_NDC_inc_LTS","Global","BC",1990,6.847167919
"Tg","T_07_NDC_inc_LTS","Global","BC",2005,7.2701422942143
"Tg","T_07_NDC_inc_LTS","Global","BC",2010,7.8388091144654
"Tg","T_07_NDC_inc_LTS","Global","BC",2015,7.81526735494917
"Tg","T_07_NDC_inc_LTS","Global","BC",2020,7.42102758730332
"Tg","T_07_NDC_inc_LTS","Global","BC",2025,7.06579051116145
"Tg","T_07_NDC_inc_LTS","Global","BC",2030,6.71436901057545
"Tg","T_07_NDC_inc_LTS","Global","BC",2035,6.31790482117577
"Tg","T_07_NDC_inc_LTS","Global","BC",2040,5.88037923685776
"Tg","T_07_NDC_inc_LTS","Global","BC",2045,5.59914761747685
"Tg","T_07_NDC_inc_LTS","Global","BC",2050,5.4086857244709
"Tg","T_07_NDC_inc_LTS","Global","BC",2055,5.25754321152423
"Tg","T_07_NDC_inc_LTS","Global","BC",2060,5.08756982006198
"Tg","T_07_NDC_inc_LTS","Global","BC",2065,4.98058756479636
"Tg","T_07_NDC_inc_LTS","Global","BC",2070,4.91498163843842
"Tg","T_07_NDC_inc_LTS","Global","BC",2075,4.88460414888393
"Tg","T_07_NDC_inc_LTS","Global","BC",2080,4.8937612260373
"Tg","T_07_NDC_inc_LTS","Global","BC",2085,4.92392368854801
"Tg","T_07_NDC_inc_LTS","Global","BC",2090,4.97811159142271
"Tg","T_07_NDC_inc_LTS","Global","BC",2095,5.04821907703
"Tg","T_07_NDC_inc_LTS","Global","BC",2100,5.14331995238265
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",1990,0.208596188578435
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2005,0.211344555127612
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2010,0.18574386781552
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2015,0.208090055828678
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2020,0.194886899
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2025,0.171483662671762
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2030,0.1539723651525
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2035,0.143037782
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2040,0.137293315373179
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2045,0.133452709314485
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2050,0.131064535561455
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2055,0.129592459057787
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2060,0.127584695939251
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2065,0.126131654641965
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2070,0.124566819507521
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2075,0.124069750290497
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2080,0.123936446284775
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2085,0.124404282917664
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2090,0.124679276153607
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2095,0.124683534506933
"Tg","T_07_NDC_inc_LTS","Global","BC_AWB",2100,0.124235046337675
"Gg","T_07_NDC_inc_LTS","Global","C2F6",1990,1.678186506
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2005,1.3326894438
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2010,1.1421159114
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2015,1.4890218034
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2020,1.304044247
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2025,1.332114223
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2030,1.431042792
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2035,1.163071545
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2040,1.16530222925
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2045,1.137704576
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2050,1.120861288
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2055,1.126600311
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2060,1.1268512268
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2065,1.13457667122
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2070,1.122046975
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2075,1.11161355321
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2080,1.09702320104
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2085,1.07889477705
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2090,1.0590441
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2095,1.036130689
"Gg","T_07_NDC_inc_LTS","Global","C2F6",2100,1.010661555
"Gg","T_07_NDC_inc_LTS","Global","CF4",1990,11.10376079
"Gg","T_07_NDC_inc_LTS","Global","CF4",2005,4.559509522
"Gg","T_07_NDC_inc_LTS","Global","CF4",2010,3.4908554511
"Gg","T_07_NDC_inc_LTS","Global","CF4",2015,4.5419844717
"Gg","T_07_NDC_inc_LTS","Global","CF4",2020,4.2900738181
"Gg","T_07_NDC_inc_LTS","Global","CF4",2025,4.556711975
"Gg","T_07_NDC_inc_LTS","Global","CF4",2030,4.8471525315
"Gg","T_07_NDC_inc_LTS","Global","CF4",2035,4.198074907558
"Gg","T_07_NDC_inc_LTS","Global","CF4",2040,4.155596646557
"Gg","T_07_NDC_inc_LTS","Global","CF4",2045,3.984290893
"Gg","T_07_NDC_inc_LTS","Global","CF4",2050,3.86672872313
"Gg","T_07_NDC_inc_LTS","Global","CF4",2055,3.812141434006
"Gg","T_07_NDC_inc_LTS","Global","CF4",2060,3.753078847
"Gg","T_07_NDC_inc_LTS","Global","CF4",2065,3.805254964093
"Gg","T_07_NDC_inc_LTS","Global","CF4",2070,3.748191876276
"Gg","T_07_NDC_inc_LTS","Global","CF4",2075,3.658736533825
"Gg","T_07_NDC_inc_LTS","Global","CF4",2080,3.534539484665
"Gg","T_07_NDC_inc_LTS","Global","CF4",2085,3.389025125653
"Gg","T_07_NDC_inc_LTS","Global","CF4",2090,3.23412146083
"Gg","T_07_NDC_inc_LTS","Global","CF4",2095,3.060543402806
"Gg","T_07_NDC_inc_LTS","Global","CF4",2100,2.874973523211
"Tg","T_07_NDC_inc_LTS","Global","CH4",1990,152.45017582489
"Tg","T_07_NDC_inc_LTS","Global","CH4",2005,160.076092455975
"Tg","T_07_NDC_inc_LTS","Global","CH4",2010,176.316845525066
"Tg","T_07_NDC_inc_LTS","Global","CH4",2015,181.029564630206
"Tg","T_07_NDC_inc_LTS","Global","CH4",2020,160.713242676434
"Tg","T_07_NDC_inc_LTS","Global","CH4",2025,161.409775980135
"Tg","T_07_NDC_inc_LTS","Global","CH4",2030,162.455080646285
"Tg","T_07_NDC_inc_LTS","Global","CH4",2035,138.19495806296
"Tg","T_07_NDC_inc_LTS","Global","CH4",2040,130.343616771615
"Tg","T_07_NDC_inc_LTS","Global","CH4",2045,124.967567884767
"Tg","T_07_NDC_inc_LTS","Global","CH4",2050,125.551297964701
"Tg","T_07_NDC_inc_LTS","Global","CH4",2055,125.276130582683
"Tg","T_07_NDC_inc_LTS","Global","CH4",2060,122.897230365058
"Tg","T_07_NDC_inc_LTS","Global","CH4",2065,117.653810790332
"Tg","T_07_NDC_inc_LTS","Global","CH4",2070,109.887340251538
"Tg","T_07_NDC_inc_LTS","Global","CH4",2075,101.475282291247
"Tg","T_07_NDC_inc_LTS","Global","CH4",2080,93.9255710949065
"Tg","T_07_NDC_inc_LTS","Global","CH4",2085,86.952633327143
"Tg","T_07_NDC_inc_LTS","Global","CH4",2090,81.05094989
"Tg","T_07_NDC_inc_LTS","Global","CH4",2095,75.4910757270928
"Tg","T_07_NDC_inc_LTS","Global","CH4",2100,70.5874757916978
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",1990,119.829984420546
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2005,130.391523952621
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2010,132.579883683515
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2015,134.435540304393
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2020,137.782559847055
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2025,147.832910106692
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2030,159.078058555926
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2035,161.805528870432
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2040,170.345483053871
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2045,179.870944701969
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2050,189.933541659395
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2055,199.170383504543
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2060,207.720425804361
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2065,216.367168465319
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2070,224.39026606495
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2075,231.74566338528
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2080,238.124815
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2085,243.373680942681
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2090,247.7079916
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2095,251.1456538
"Tg","T_07_NDC_inc_LTS","Global","CH4_AGR",2100,253.7146006
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",1990,0.946430051534659
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2005,4.3231617448371
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2010,5.0401259774758
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2015,5.71501020474712
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2020,6.264003599
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2025,6.71917647581285
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2030,6.839210544
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2035,6.56825781353163
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2040,6.476524276
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2045,6.46049686849839
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2050,6.38250413160487
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2055,6.11993745258523
"Tg","T_07_NDC_inc_LTS","Global","CH4_AWB",2060,5.75673781866638
