"Units","scenario","region","ghg","year","value"
"Tg","T_01_BAU","Global","BC",1990,6.847167919
"Tg","T_01_BAU","Global","BC",2005,7.2701422942143
"Tg","T_01_BAU","Global","BC",2010,7.8388091144654
"Tg","T_01_BAU","Global","BC",2015,7.81526735494917
"Tg","T_01_BAU","Global","BC",2020,7.42102543126996
"Tg","T_01_BAU","Global","BC",2025,7.08873333485749
"Tg","T_01_BAU","Global","BC",2030,6.78498711762504
"Tg","T_01_BAU","Global","BC",2035,6.57054897925704
"Tg","T_01_BAU","Global","BC",2040,6.4272254470477
"Tg","T_01_BAU","Global","BC",2045,6.26649241323942
"Tg","T_01_BAU","Global","BC",2050,6.111468585355
"Tg","T_01_BAU","Global","BC",2055,5.9969071667219
"Tg","T_01_BAU","Global","BC",2060,5.89522692422736
"Tg","T_01_BAU","Global","BC",2065,5.83863933742151
"Tg","T_01_BAU","Global","BC",2070,5.81554489529805
"Tg","T_01_BAU","Global","BC",2075,5.81606546324238
"Tg","T_01_BAU","Global","BC",2080,5.8484524186904
"Tg","T_01_BAU","Global","BC",2085,5.90353731641483
"Tg","T_01_BAU","Global","BC",2090,5.97899470903743
"Tg","T_01_BAU","Global","BC",2095,6.07342768099939
"Tg","T_01_BAU","Global","BC",2100,6.19472587654886
"Tg","T_01_BAU","Global","BC_AWB",1990,0.208596188578435
"Tg","T_01_BAU","Global","BC_AWB",2005,0.211344555227613
"Tg","T_01_BAU","Global","BC_AWB",2010,0.18574386781552
"Tg","T_01_BAU","Global","BC_AWB",2015,0.208090055828678
"Tg","T_01_BAU","Global","BC_AWB",2020,0.194886889029638
"Tg","T_01_BAU","Global","BC_AWB",2025,0.170909355
"Tg","T_01_BAU","Global","BC_AWB",2030,0.15294410788875
"Tg","T_01_BAU","Global","BC_AWB",2035,0.143420307353717
"Tg","T_01_BAU","Global","BC_AWB",2040,0.138169273048488
"Tg","T_01_BAU","Global","BC_AWB",2045,0.134292393055782
"Tg","T_01_BAU","Global","BC_AWB",2050,0.131321525336026
"Tg","T_01_BAU","Global","BC_AWB",2055,0.129420045619848
"Tg","T_01_BAU","Global","BC_AWB",2060,0.127292779286691
"Tg","T_01_BAU","Global","BC_AWB",2065,0.125511000400746
"Tg","T_01_BAU","Global","BC_AWB",2070,0.123689729603656
"Tg","T_01_BAU","Global","BC_AWB",2075,0.122848017189799
"Tg","T_01_BAU","Global","BC_AWB",2080,0.122370453843127
"Tg","T_01_BAU","Global","BC_AWB",2085,0.122470480351114
"Tg","T_01_BAU","Global","BC_AWB",2090,0.122333269569503
"Tg","T_01_BAU","Global","BC_AWB",2095,0.121979441673426
"Tg","T_01_BAU","Global","BC_AWB",2100,0.121204962875489
"Gg","T_01_BAU","Global","C2F6",1990,1.678186506
"Gg","T_01_BAU","Global","C2F6",2005,1.3326894438
"Gg","T_01_BAU","Global","C2F6",2010,1.1421159114
"Gg","T_01_BAU","Global","C2F6",2015,1.4890218034
"Gg","T_01_BAU","Global","C2F6",2020,1.304044249
"Gg","T_01_BAU","Global","C2F6",2025,1.6841876798
"Gg","T_01_BAU","Global","C2F6",2030,1.7791312652
"Gg","T_01_BAU","Global","C2F6",2035,1.8543123711
"Gg","T_01_BAU","Global","C2F6",2040,1.912856327
"Gg","T_01_BAU","Global","C2F6",2045,1.973218292
"Gg","T_01_BAU","Global","C2F6",2050,2.0201456139
"Gg","T_01_BAU","Global","C2F6",2055,2.056256587
