"Units","scenario","region","ghg","year","value"
"Tg","T_04_NDC_cont","Global","BC",1990,6.847167919
"Tg","T_04_NDC_cont","Global","BC",2005,7.2701422943143
"Tg","T_04_NDC_cont","Global","BC",2010,7.8388091145654
"Tg","T_04_NDC_cont","Global","BC",2015,7.81526735494917
"Tg","T_04_NDC_cont","Global","BC",2020,7.42102925873876
"Tg","T_04_NDC_cont","Global","BC",2025,7.06579204609781
"Tg","T_04_NDC_cont","Global","BC",2030,6.71437800335686
"Tg","T_04_NDC_cont","Global","BC",2035,6.34579710104777
"Tg","T_04_NDC_cont","Global","BC",2040,5.95546592044624
"Tg","T_04_NDC_cont","Global","BC",2045,5.694554973
"Tg","T_04_NDC_cont","Global","BC",2050,5.50604727935377
"Tg","T_04_NDC_cont","Global","BC",2055,5.36864348526971
"Tg","T_04_NDC_cont","Global","BC",2060,5.2136396748573
"Tg","T_04_NDC_cont","Global","BC",2065,5.12462638751434
"Tg","T_04_NDC_cont","Global","BC",2070,5.07304235434274
"Tg","T_04_NDC_cont","Global","BC",2075,5.05800382327235
"Tg","T_04_NDC_cont","Global","BC",2080,5.08511198484913
"Tg","T_04_NDC_cont","Global","BC",2085,5.12873720277533
"Tg","T_04_NDC_cont","Global","BC",2090,5.19178022962599
"Tg","T_04_NDC_cont","Global","BC",2095,5.26423104945234
"Tg","T_04_NDC_cont","Global","BC",2100,5.35589981900726
"Tg","T_04_NDC_cont","Global","BC_AWB",1990,0.208596188578435
"Tg","T_04_NDC_cont","Global","BC_AWB",2005,0.211344555227613
"Tg","T_04_NDC_cont","Global","BC_AWB",2010,0.18574386781552
"Tg","T_04_NDC_cont","Global","BC_AWB",2015,0.208090055828678
"Tg","T_04_NDC_cont","Global","BC_AWB",2020,0.19488689334337
"Tg","T_04_NDC_cont","Global","BC_AWB",2025,0.171483659258738
"Tg","T_04_NDC_cont","Global","BC_AWB",2030,0.153971408723335
"Tg","T_04_NDC_cont","Global","BC_AWB",2035,0.14371913022422
"Tg","T_04_NDC_cont","Global","BC_AWB",2040,0.138001647297617
"Tg","T_04_NDC_cont","Global","BC_AWB",2045,0.1336974178625
"Tg","T_04_NDC_cont","Global","BC_AWB",2050,0.130973721811056
"Tg","T_04_NDC_cont","Global","BC_AWB",2055,0.12930807980569
