"Units","scenario","region","ghg","year","value"
"Tg","T_05_NDC_inc_LTS","Global","BC",1990,6.847167919
"Tg","T_05_NDC_inc_LTS","Global","BC",2005,7.2701422942143
"Tg","T_05_NDC_inc_LTS","Global","BC",2010,7.8388091145654
"Tg","T_05_NDC_inc_LTS","Global","BC",2015,7.81526735494917
"Tg","T_05_NDC_inc_LTS","Global","BC",2020,7.42098546872153
"Tg","T_05_NDC_inc_LTS","Global","BC",2025,7.06574423435278
"Tg","T_05_NDC_inc_LTS","Global","BC",2030,6.7143224127104
"Tg","T_05_NDC_inc_LTS","Global","BC",2035,6.3398127713166
"Tg","T_05_NDC_inc_LTS","Global","BC",2040,5.9000300465893
"Tg","T_05_NDC_inc_LTS","Global","BC",2045,5.62015251292828
"Tg","T_05_NDC_inc_LTS","Global","BC",2050,5.43071305633842
"Tg","T_05_NDC_inc_LTS","Global","BC",2055,5.27651390462574
"Tg","T_05_NDC_inc_LTS","Global","BC",2060,5.10175404359388
"Tg","T_05_NDC_inc_LTS","Global","BC",2065,4.995885111639
"Tg","T_05_NDC_inc_LTS","Global","BC",2070,4.92704514666117
"Tg","T_05_NDC_inc_LTS","Global","BC",2075,4.89520061066754
"Tg","T_05_NDC_inc_LTS","Global","BC",2080,4.90527022742843
"Tg","T_05_NDC_inc_LTS","Global","BC",2085,4.93663885201748
"Tg","T_05_NDC_inc_LTS","Global","BC",2090,4.991538566
"Tg","T_05_NDC_inc_LTS","Global","BC",2095,5.06045951221153
"Tg","T_05_NDC_inc_LTS","Global","BC",2100,5.1542348839729
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",1990,0.208596188578435
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2005,0.211344555227613
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2010,0.18574386781552
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2015,0.208090055828678
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2020,0.194886965891229
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2025,0.171483608517087
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2030,0.153972434594158
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2035,0.143081444
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2040,0.137306436239996
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2045,0.13342238
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2050,0.130991675322009
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2055,0.129486088037999
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2060,0.127491494494311
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2065,0.126059034965299
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2070,0.124524103019567
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2075,0.124062763938449
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2080,0.123936462201269
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2085,0.124390125471559
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2090,0.124637168661584
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2095,0.124615296806748
"Tg","T_05_NDC_inc_LTS","Global","BC_AWB",2100,0.124150088617464
"Gg","T_05_NDC_inc_LTS","Global","C2F6",1990,1.678186506
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2005,1.3326894438
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2010,1.1421159114
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2015,1.4890218034
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2020,1.3040453379
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2025,1.3321153268
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2030,1.4310444929
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2035,1.184372705
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2040,1.18463251895
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2045,1.173457337
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2050,1.1478547106
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2055,1.134007304
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2060,1.1317056339
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2065,1.13690582058
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2070,1.12479065
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2075,1.122534497
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2080,1.111911695
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2085,1.09110356638
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2090,1.06508599821
"Gg","T_05_NDC_inc_LTS","Global","C2F6",2095,1.042271012
