"Units","scenario","region","year","value"
"MtC/yr","T_01_BAU","Global",1980,1081.65041815646
"MtC/yr","T_01_BAU","Global",1985,1085.90282846772
"MtC/yr","T_01_BAU","Global",1990,1089.91235531477
"MtC/yr","T_01_BAU","Global",1995,660.568554052671
"MtC/yr","T_01_BAU","Global",2000,586.5505827
"MtC/yr","T_01_BAU","Global",2005,531.668253601906
"MtC/yr","T_01_BAU","Global",2010,676.294919803382
"MtC/yr","T_01_BAU","Global",2015,889.307005814951
"MtC/yr","T_01_BAU","Global",2020,-45.24472367
"MtC/yr","T_01_BAU","Global",2025,54.9253688880149
"MtC/yr","T_01_BAU","Global",2030,68.7243936393768
"MtC/yr","T_01_BAU","Global",2035,109.608861977888
"MtC/yr","T_01_BAU","Global",2040,160.723383562813
"MtC/yr","T_01_BAU","Global",2045,173.609525878579
"MtC/yr","T_01_BAU","Global",2050,157.973673071175
"MtC/yr","T_01_BAU","Global",2055,215.883387071504
"MtC/yr","T_01_BAU","Global",2060,149.371610139627
"MtC/yr","T_01_BAU","Global",2065,111.694775253866
"MtC/yr","T_01_BAU","Global",2070,68.224349045595
"MtC/yr","T_01_BAU","Global",2075,34.771852543229
"MtC/yr","T_01_BAU","Global",2080,13.1760105258714
"MtC/yr","T_01_BAU","Global",2085,-3.005818685
"MtC/yr","T_01_BAU","Global",2090,-12.16453684
"MtC/yr","T_01_BAU","Global",2095,-20.44930436
"MtC/yr","T_01_BAU","Global",2100,-29.42448081
