"Units","scenario","region","year","value"
"MtC/yr","T_02_CAT_crnt","Global",1980,1081.65041815646
"MtC/yr","T_02_CAT_crnt","Global",1985,1085.90282846772
"MtC/yr","T_02_CAT_crnt","Global",1990,1089.91235531477
"MtC/yr","T_02_CAT_crnt","Global",1995,660.568554052671
"MtC/yr","T_02_CAT_crnt","Global",2000,586.5505827
"MtC/yr","T_02_CAT_crnt","Global",2005,531.668253601906
"MtC/yr","T_02_CAT_crnt","Global",2010,676.294919803382
"MtC/yr","T_02_CAT_crnt","Global",2015,889.307005814951
"MtC/yr","T_02_CAT_crnt","Global",2020,-45.25265033
"MtC/yr","T_02_CAT_crnt","Global",2025,-269.2776734
"MtC/yr","T_02_CAT_crnt","Global",2030,-299.8740544
"MtC/yr","T_02_CAT_crnt","Global",2035,-305.1712309
"MtC/yr","T_02_CAT_crnt","Global",2040,-201.3827621
"MtC/yr","T_02_CAT_crnt","Global",2045,-118.1133251
"MtC/yr","T_02_CAT_crnt","Global",2050,-127.2824047
"MtC/yr","T_02_CAT_crnt","Global",2055,-67.33876901
"MtC/yr","T_02_CAT_crnt","Global",2060,-80.09419163
"MtC/yr","T_02_CAT_crnt","Global",2065,-86.46173415
"MtC/yr","T_02_CAT_crnt","Global",2070,-110.3363792
"MtC/yr","T_02_CAT_crnt","Global",2075,-85.09350388
"MtC/yr","T_02_CAT_crnt","Global",2080,-48.75189031
"MtC/yr","T_02_CAT_crnt","Global",2085,-36.37780497
"MtC/yr","T_02_CAT_crnt","Global",2090,-44.27437731
"MtC/yr","T_02_CAT_crnt","Global",2095,-43.62570803
"MtC/yr","T_02_CAT_crnt","Global",2100,-54.70755313
