"Units","scenario","region","year","value"
"MtC/yr","T_03_CAT_cont","Global",1980,1081.65041815646
"MtC/yr","T_03_CAT_cont","Global",1985,1085.90282846772
"MtC/yr","T_03_CAT_cont","Global",1990,1089.91235531477
"MtC/yr","T_03_CAT_cont","Global",1995,660.568554052671
"MtC/yr","T_03_CAT_cont","Global",2000,586.5505827
"MtC/yr","T_03_CAT_cont","Global",2005,531.668253601906
"MtC/yr","T_03_CAT_cont","Global",2010,676.294919803382
"MtC/yr","T_03_CAT_cont","Global",2015,889.307005814951
"MtC/yr","T_03_CAT_cont","Global",2020,-45.25056789
"MtC/yr","T_03_CAT_cont","Global",2025,-269.2850721
"MtC/yr","T_03_CAT_cont","Global",2030,-299.890246
"MtC/yr","T_03_CAT_cont","Global",2035,-307.6878274
"MtC/yr","T_03_CAT_cont","Global",2040,-205.8784534
"MtC/yr","T_03_CAT_cont","Global",2045,-119.6839066
"MtC/yr","T_03_CAT_cont","Global",2050,-129.2154391
"MtC/yr","T_03_CAT_cont","Global",2055,-69.36217903
"MtC/yr","T_03_CAT_cont","Global",2060,-84.92627611
"MtC/yr","T_03_CAT_cont","Global",2065,-89.39282626
"MtC/yr","T_03_CAT_cont","Global",2070,-112.2907564
"MtC/yr","T_03_CAT_cont","Global",2075,-85.96232374
"MtC/yr","T_03_CAT_cont","Global",2080,-48.86830491
"MtC/yr","T_03_CAT_cont","Global",2085,-35.64530192
"MtC/yr","T_03_CAT_cont","Global",2090,-44.47495456
"MtC/yr","T_03_CAT_cont","Global",2095,-44.70192935
"MtC/yr","T_03_CAT_cont","Global",2100,-53.78179174
