"Units","scenario","region","year","value"
"MtC/yr","T_04_NDC_cont","Global",1980,1081.65041815646
"MtC/yr","T_04_NDC_cont","Global",1985,1085.90282846772
"MtC/yr","T_04_NDC_cont","Global",1990,1089.91235531477
"MtC/yr","T_04_NDC_cont","Global",1995,660.568554052671
"MtC/yr","T_04_NDC_cont","Global",2000,586.5505827
"MtC/yr","T_04_NDC_cont","Global",2005,531.668253601906
"MtC/yr","T_04_NDC_cont","Global",2010,676.294919803382
"MtC/yr","T_04_NDC_cont","Global",2015,889.307005814951
"MtC/yr","T_04_NDC_cont","Global",2020,-45.24498936
"MtC/yr","T_04_NDC_cont","Global",2025,-29.95058722
"MtC/yr","T_04_NDC_cont","Global",2030,-1.618871301
"MtC/yr","T_04_NDC_cont","Global",2035,-203.8638884
"MtC/yr","T_04_NDC_cont","Global",2040,-495.5069458
"MtC/yr","T_04_NDC_cont","Global",2045,-406.2797147
"MtC/yr","T_04_NDC_cont","Global",2050,-244.1980366
"MtC/yr","T_04_NDC_cont","Global",2055,-37.52296904
"MtC/yr","T_04_NDC_cont","Global",2060,-70.17199797
"MtC/yr","T_04_NDC_cont","Global",2065,-86.28953434
"MtC/yr","T_04_NDC_cont","Global",2070,-95.12442589
"MtC/yr","T_04_NDC_cont","Global",2075,-79.42892643
"MtC/yr","T_04_NDC_cont","Global",2080,-61.84056659
"MtC/yr","T_04_NDC_cont","Global",2085,-44.57893088
"MtC/yr","T_04_NDC_cont","Global",2090,-29.361568
"MtC/yr","T_04_NDC_cont","Global",2095,-32.30726969
"MtC/yr","T_04_NDC_cont","Global",2100,-36.91572472
