"Units","scenario","region","year","value"
"MtC/yr","T_05_NDC_inc_LTS","Global",1980,1081.65041815646
"MtC/yr","T_05_NDC_inc_LTS","Global",1985,1085.90282846772
"MtC/yr","T_05_NDC_inc_LTS","Global",1990,1089.91235531477
"MtC/yr","T_05_NDC_inc_LTS","Global",1995,660.568554052671
"MtC/yr","T_05_NDC_inc_LTS","Global",2000,586.5505827
"MtC/yr","T_05_NDC_inc_LTS","Global",2005,531.668253601906
"MtC/yr","T_05_NDC_inc_LTS","Global",2010,676.294919803382
"MtC/yr","T_05_NDC_inc_LTS","Global",2015,889.307005814951
"MtC/yr","T_05_NDC_inc_LTS","Global",2020,-45.2462961
"MtC/yr","T_05_NDC_inc_LTS","Global",2025,-29.95871873
"MtC/yr","T_05_NDC_inc_LTS","Global",2030,-1.587276787
"MtC/yr","T_05_NDC_inc_LTS","Global",2035,-229.6069141
"MtC/yr","T_05_NDC_inc_LTS","Global",2040,-566.5048461
"MtC/yr","T_05_NDC_inc_LTS","Global",2045,-433.5210669
"MtC/yr","T_05_NDC_inc_LTS","Global",2050,-218.4489825
"MtC/yr","T_05_NDC_inc_LTS","Global",2055,-36.16270413
"MtC/yr","T_05_NDC_inc_LTS","Global",2060,-70.19897664
"MtC/yr","T_05_NDC_inc_LTS","Global",2065,-81.15300797
"MtC/yr","T_05_NDC_inc_LTS","Global",2070,-90.77382124
"MtC/yr","T_05_NDC_inc_LTS","Global",2075,-77.06028809
"MtC/yr","T_05_NDC_inc_LTS","Global",2080,-37.49581751
"MtC/yr","T_05_NDC_inc_LTS","Global",2085,-16.5373364
"MtC/yr","T_05_NDC_inc_LTS","Global",2090,-14.52887923
"MtC/yr","T_05_NDC_inc_LTS","Global",2095,-19.60320584
"MtC/yr","T_05_NDC_inc_LTS","Global",2100,-24.64694596
