year,value
1995,0.543700936
1996,0.606337309
1997,0.637808387
1998,0.674393779
1999,0.732448191
2000,0.771562897
2001,0.804737603
2002,0.822971623
2003,0.838537701
2004,0.851621034
2005,0.862855936
2006,0.87693525
2007,0.893477113
2008,0.921531426
2009,0.946801623
2010,0.969239662
2011,1.000137897
2012,1.024400348
2013,1.05603476
2014,1.079648975
2015,1.102796426
2016,1.118578779
2017,1.133013681
2018,1.147525936
2019,1.169967407
2020,1.191716132
2021,1.215231426
2022,1.232713877
2023,1.251748877
2024,1.272597407
2025,1.290327407
2026,1.307074858
2027,1.325019858
2028,1.344391819
2029,1.363771819
2030,1.383495054
2031,1.401336917
2032,1.422890348
2033,1.445850348
2034,1.473070348
2035,1.499725054
2036,1.527357407
2037,1.554346426
2038,1.582636426
2039,1.606601917
2040,1.626456917
2041,1.645556917
2042,1.665921917
2043,1.688252407
2044,1.714433877
2045,1.745543877
2046,1.778673877
2047,1.812654662
2048,1.844342407
2049,1.872297407
2050,1.895557407
2051,1.917797407
2052,1.940212407
2053,1.963137407
2054,1.98672025
2055,2.01336025
2056,2.042764172
2057,2.069794172
2058,2.096074172
2059,2.122169172
2060,2.148131917
2061,2.173451917
2062,2.198466917
2063,2.224086917
2064,2.24901927
2065,2.27471927
2066,2.302951917
2067,2.332681917
2068,2.362441917
2069,2.390741917
2070,2.417291917
2071,2.442361917
2072,2.467271917
2073,2.492481917
2074,2.517561917
2075,2.542876917
2076,2.570677995
2077,2.600367995
2078,2.631677995
2079,2.664207995
2080,2.697047995
2081,2.729167995
2082,2.760567995
2083,2.792746721
2084,2.823494074
2085,2.851269074
2086,2.878519074
2087,2.906751721
2088,2.935954074
2089,2.967219074
2090,3.001194074
2091,3.036269074
2092,3.072584074
2093,3.106024074
2094,3.135739074
2095,3.163639074
2096,3.190139074
2097,3.216944074
2098,3.244144074
2099,3.273084074
2100,3.304724074
