"","model","scenario","ensemble","year","variable","value","ecs","id"
"1","ACCESS-CM2","ssp126","r1i1p1f1",1850,"global_tas",0.102620654881378,"4.7","very likely"
"2","ACCESS-CM2","ssp126","r1i1p1f1",1850,"sst",0.037354299019608,"4.7","very likely"
"3","ACCESS-CM2","ssp126","r1i1p1f1",1850,"land_tas",0.148940588235291,"4.7","very likely"
"4","ACCESS-CM2","ssp126","r1i1p1f1",1851,"global_tas",0.112111532363656,"4.7","very likely"
"5","ACCESS-CM2","ssp126","r1i1p1f1",1851,"sst",0.0574667156862746,"4.7","very likely"
"6","ACCESS-CM2","ssp126","r1i1p1f1",1851,"land_tas",0.0776405882352833,"4.7","very likely"
"7","ACCESS-CM2","ssp126","r1i1p1f1",1852,"global_tas",0.2696691706754,"4.7","very likely"
"8","ACCESS-CM2","ssp126","r1i1p1f1",1852,"sst",0.220775465686273,"4.7","very likely"
"9","ACCESS-CM2","ssp126","r1i1p1f1",1852,"land_tas",0.331680588235258,"4.7","very likely"
"10","ACCESS-CM2","ssp126","r1i1p1f1",1853,"global_tas",0.16607476237067,"4.7","very likely"
"11","ACCESS-CM2","ssp126","r1i1p1f1",1853,"sst",0.166109882352942,"4.7","very likely"
"12","ACCESS-CM2","ssp126","r1i1p1f1",1853,"land_tas",0.19167058823524,"4.7","very likely"
"13","ACCESS-CM2","ssp126","r1i1p1f1",1854,"global_tas",0.236285642056487,"4.7","very likely"
"14","ACCESS-CM2","ssp126","r1i1p1f1",1854,"sst",0.158864799019607,"4.7","very likely"
"15","ACCESS-CM2","ssp126","r1i1p1f1",1854,"land_tas",0.478290588235268,"4.7","very likely"
"16","ACCESS-CM2","ssp126","r1i1p1f1",1855,"global_tas",0.00736049762656421,"4.7","very likely"
"17","ACCESS-CM2","ssp126","r1i1p1f1",1855,"sst",-0.00259136764706003,"4.7","very likely"
"18","ACCESS-CM2","ssp126","r1i1p1f1",1855,"land_tas",0.00829058823524065,"4.7","very likely"
"19","ACCESS-CM2","ssp126","r1i1p1f1",1856,"global_tas",0.0363746799132514,"4.7","very likely"
"20","ACCESS-CM2","ssp126","r1i1p1f1",1856,"sst",0.0441768823529395,"4.7","very likely"
"21","ACCESS-CM2","ssp126","r1i1p1f1",1856,"land_tas",0.0504405882352899,"4.7","very likely"
"22","ACCESS-CM2","ssp126","r1i1p1f1",1857,"global_tas",0.0966039004744061,"4.7","very likely"
"23","ACCESS-CM2","ssp126","r1i1p1f1",1857,"sst",0.0843462156862743,"4.7","very likely"
"24","ACCESS-CM2","ssp126","r1i1p1f1",1857,"land_tas",0.166580588235263,"4.7","very likely"
