year,value
1850,0.164195
1851,0.165485
1852,0.171645
1853,0.172905
1854,0.17432
1855,0.18083
1856,0.18227
1857,0.18896
1858,0.19561
1859,0.1976
1860,0.19967
1861,0.206965
1862,0.219015
1863,0.22639
1864,0.228825
1865,0.236465
1866,0.244015
1867,0.25209
1868,0.259695
1869,0.26803
1870,0.271125
1871,0.27913
1872,0.287825
1873,0.295945
1874,0.30465
1875,0.313115
1876,0.3218
1877,0.33546
1878,0.34427
1879,0.35277
1880,0.36152
1881,0.370275
1882,0.37901
1883,0.38723
1884,0.395745
1885,0.404035
1886,0.40716
1887,0.415325
1888,0.418595
1889,0.426245
1890,0.433865
1891,0.43643
1892,0.44394
1893,0.45139
1894,0.45927
1895,0.46162
1896,0.46931
1897,0.47716
1898,0.479805
1899,0.487715
1900,0.491055
1901,0.499255
1902,0.502425
1903,0.51101
1904,0.519745
1905,0.52319
1906,0.531915
1907,0.540975
1908,0.549505
1909,0.55817
1910,0.56192
1911,0.570295
1912,0.57396
1913,0.582225
1914,0.58512
1915,0.593875
1916,0.596995
1917,0.6049
1918,0.612745
1919,0.61601
1920,0.62373
1921,0.63178
1922,0.634325
1923,0.642225
1924,0.644645
1925,0.65195
1926,0.654085
1927,0.655995
1928,0.662745
1929,0.66403
1930,0.665485
1931,0.666855
1932,0.67242
1933,0.67314
1934,0.673565
1935,0.673935
1936,0.673925
1937,0.673775
1938,0.673425
1939,0.673255
1940,0.673305
1941,0.66803
1942,0.66835
1943,0.668845
1944,0.66985
1945,0.671235
1946,0.678325
1947,0.681085
1948,0.68902
1949,0.69308
1950,0.702545
1951,0.71233
1952,0.7284
1953,0.74464
1954,0.756845
1955,0.76967
1956,0.78329
1957,0.792965
1958,0.807815
1959,0.9924198
1960,0.936514292
1961,0.839508784
1962,0.923603275
1963,1.111697767
1964,1.229492259
1965,1.337886751
1966,1.268381242
1967,1.110075734
1968,1.200970226
1969,1.299864718
1970,1.113059209
1971,1.229253701
1972,1.531248193
1973,1.371942685
1974,1.318637176
1975,1.238031668
1976,1.44052616
1977,1.530920652
1978,1.555515143
1979,1.525009635
1980,1.788404127
1981,1.762898619
1982,1.94709311
1983,2.098487602
1984,1.874082094
1985,1.766976586
1986,1.834271078
1987,1.988565569
1988,1.809060061
1989,1.846454553
1990,2.008756579
1991,2.139805427
1992,2.301725826
1993,2.245826043
1994,2.034234618
1995,2.033206139
1996,2.028526559
1997,2.200500515
1998,2.240400205
1999,1.996638796
2000,1.936719566
2001,1.837084719
2002,2.237809127
2003,2.343089908
2004,2.303435164
2005,2.336899474
2006,2.445972109
2007,2.377707296
2008,2.401370364
2009,2.559065859
2010,2.51828282
2011,2.556846706
2012,2.617698426
2013,2.649486241
2014,2.785954224
2015,2.849992191
2016,2.969237041
2017,2.830498102
2018,2.907491374
2019,2.955931523
2020,2.91436547
2021,2.825585012
2022,2.779694058
