year,value,scenario
1995,0.544526,T_01_BAU
2000,0.66472,T_01_BAU
2005,0.77397,T_01_BAU
2010,0.941483,T_01_BAU
2015,1.11376,T_01_BAU
2020,1.24754,T_01_BAU
2025,1.36346,T_01_BAU
2030,1.49177,T_01_BAU
2035,1.62308,T_01_BAU
2040,1.75598,T_01_BAU
2045,1.88862,T_01_BAU
2050,2.01983,T_01_BAU
2055,2.15163,T_01_BAU
2060,2.28576,T_01_BAU
2065,2.4218,T_01_BAU
2070,2.5591,T_01_BAU
2075,2.69826,T_01_BAU
2080,2.83972,T_01_BAU
2085,2.9803,T_01_BAU
2090,3.11907,T_01_BAU
2095,3.25527,T_01_BAU
2100,3.38921,T_01_BAU
1995,0.544526,T_02_CAT_crnt
2000,0.66472,T_02_CAT_crnt
2005,0.77397,T_02_CAT_crnt
2010,0.941483,T_02_CAT_crnt
2015,1.11376,T_02_CAT_crnt
2020,1.24815,T_02_CAT_crnt
2025,1.37078,T_02_CAT_crnt
2030,1.48746,T_02_CAT_crnt
2035,1.60094,T_02_CAT_crnt
2040,1.709,T_02_CAT_crnt
2045,1.81029,T_02_CAT_crnt
2050,1.90593,T_02_CAT_crnt
2055,1.99805,T_02_CAT_crnt
2060,2.08643,T_02_CAT_crnt
2065,2.17034,T_02_CAT_crnt
2070,2.24915,T_02_CAT_crnt
2075,2.32366,T_02_CAT_crnt
2080,2.39633,T_02_CAT_crnt
2085,2.46591,T_02_CAT_crnt
2090,2.53196,T_02_CAT_crnt
2095,2.59451,T_02_CAT_crnt
2100,2.65395,T_02_CAT_crnt
1995,0.544526,T_03_CAT_crnt
2000,0.66472,T_03_CAT_crnt
2005,0.77397,T_03_CAT_crnt
2010,0.941483,T_03_CAT_crnt
2015,1.11376,T_03_CAT_crnt
2020,1.24815,T_03_CAT_crnt
2025,1.37078,T_03_CAT_crnt
2030,1.48746,T_03_CAT_crnt
2035,1.60111,T_03_CAT_crnt
2040,1.7092,T_03_CAT_crnt
2045,1.81041,T_03_CAT_crnt
2050,1.90581,T_03_CAT_crnt
2055,1.99739,T_03_CAT_crnt
2060,2.08471,T_03_CAT_crnt
2065,2.16716,T_03_CAT_crnt
2070,2.24413,T_03_CAT_crnt
2075,2.31636,T_03_CAT_crnt
2080,2.38645,T_03_CAT_crnt
2085,2.4533,T_03_CAT_crnt
2090,2.51612,T_03_CAT_crnt
2095,2.57488,T_03_CAT_crnt
2100,2.63,T_03_CAT_crnt
1995,0.544526,T_04_NDC_cont
2000,0.66472,T_04_NDC_cont
2005,0.77397,T_04_NDC_cont
2010,0.941483,T_04_NDC_cont
2015,1.11376,T_04_NDC_cont
2020,1.24827,T_04_NDC_cont
2025,1.37136,T_04_NDC_cont
2030,1.48447,T_04_NDC_cont
2035,1.59113,T_04_NDC_cont
2040,1.67682,T_04_NDC_cont
2045,1.74978,T_04_NDC_cont
2050,1.81163,T_04_NDC_cont
2055,1.8659,T_04_NDC_cont
2060,1.91382,T_04_NDC_cont
2065,1.95792,T_04_NDC_cont
2070,2.00141,T_04_NDC_cont
2075,2.04497,T_04_NDC_cont
2080,2.09022,T_04_NDC_cont
2085,2.13492,T_04_NDC_cont
2090,2.17872,T_04_NDC_cont
2095,2.22087,T_04_NDC_cont
2100,2.26127,T_04_NDC_cont
1995,0.544526,T_05_NDC_inc_LTS
2000,0.66472,T_05_NDC_inc_LTS
2005,0.77397,T_05_NDC_inc_LTS
2010,0.941483,T_05_NDC_inc_LTS
2015,1.11376,T_05_NDC_inc_LTS
2020,1.24827,T_05_NDC_inc_LTS
2025,1.37136,T_05_NDC_inc_LTS
2030,1.48479,T_05_NDC_inc_LTS
2035,1.59704,T_05_NDC_inc_LTS
2040,1.68523,T_05_NDC_inc_LTS
2045,1.75524,T_05_NDC_inc_LTS
2050,1.80702,T_05_NDC_inc_LTS
2055,1.84556,T_05_NDC_inc_LTS
2060,1.87296,T_05_NDC_inc_LTS
2065,1.89254,T_05_NDC_inc_LTS
2070,1.90823,T_05_NDC_inc_LTS
2075,1.92113,T_05_NDC_inc_LTS
2080,1.9324,T_05_NDC_inc_LTS
2085,1.9421,T_05_NDC_inc_LTS
2090,1.95025,T_05_NDC_inc_LTS
2095,1.95706,T_05_NDC_inc_LTS
2100,1.96315,T_05_NDC_inc_LTS
